customer_id,recency,frequency,monetary,avg_day_diff,count_order,total_money,avg_totalMoney,transaksi_withOffer,rfm_cell_string,rfm_segment
b3293a8651f84add9ca1e463a9148c6e,1,1,3,202,3,79.01,26.3366666666667,2,1-1-3,Cannot Lose Them
cdc70ea5dcfa497bb0c53b3fc20f3691,1,1,1,202,3,9.97,3.32333333333333,NULL,1-1-1,Lost Costumer
36309ec0551e4e6f8f8ff08bad4eeb8e,1,1,3,202,3,56.32,18.7733333333333,3,1-1-3,Cannot Lose Them
1c5fc9dd3e144e5e9dab86d0c12b3225,1,1,3,202,3,63.66,21.22,2,1-1-3,Cannot Lose Them
52373a9fea6348d583b6e4fb8c20e34a,1,1,1,202,3,3.47,1.15666666666667,NULL,1-1-1,Lost Costumer
755c3aab55a0423bb2142c97e0b3fd63,1,1,2,202,3,38.48,12.8266666666667,2,1-1-2,Lost Costumer
9fc020a356b54c29b87122f0ca9bd134,1,1,1,202,3,10.41,3.47,NULL,1-1-1,Lost Costumer
ed79f35c799d4f829f864b86f5eb43f7,1,1,2,201,2,42.68,21.34,2,1-1-2,Lost Costumer
37914e7098564748881057bfa6ffc070,1,1,3,201,2,56.73,28.365,1,1-1-3,Cannot Lose Them
70438cb55afa42dbbea1e62163fa3504,1,1,2,201,2,34.04,17.02,1,1-1-2,Lost Costumer
abcc3cffbf8b483bad88116fe6ee3cd5,1,1,1,201,2,7.56,3.78,NULL,1-1-1,Lost Costumer
84163a1b1490474e9bab09607df67c9c,1,1,2,201,2,38.37,19.185,2,1-1-2,Lost Costumer
b50d7e5567f14070bd95e2c2a45e60f4,1,1,1,201,2,3.84,1.92,NULL,1-1-1,Lost Costumer
946eee504439450a8b38ef5009b688c6,1,1,3,201,2,51.34,25.67,1,1-1-3,Cannot Lose Them
d191136a45c04596adb9f6ae53cfcaa2,1,1,1,201,2,9.62,4.81,1,1-1-1,Lost Costumer
06e2f7db27064b629f73908f6b187561,1,1,2,201,2,33.31,16.655,2,1-1-2,Lost Costumer
4b7c259051134278b2b28b9691c65286,1,1,1,200,3,6.68,2.22666666666667,NULL,1-1-1,Lost Costumer
c55582773fa24fb8a0e217851a2b23ae,1,1,3,200,3,82.75,27.5833333333333,2,1-1-3,Cannot Lose Them
5a32c9a4b6614fa1885827808eeee8e2,1,1,1,200,3,7.03,2.34333333333333,1,1-1-1,Lost Costumer
2f786c7fa8914c9d881dd68af7cfb906,1,1,1,200,3,0.92,0.306666666666667,NULL,1-1-1,Lost Costumer
44b02bac48694f92aa88cc04e597f6f0,1,1,1,200,3,4.83,1.61,NULL,1-1-1,Lost Costumer
68890545a1f541c5b8eb6c69682596ab,1,1,3,200,3,49.06,16.3533333333333,1,1-1-3,Cannot Lose Them
b955f55821334c88907b39039c217dd7,1,1,3,200,3,54.86,18.2866666666667,NULL,1-1-3,Cannot Lose Them
98cd432801084dc4934d10bd3420133e,1,1,3,200,3,82.11,27.37,3,1-1-3,Cannot Lose Them
506f28f5c45245b9baacf69e35e42cf6,1,1,1,200,3,4.29,1.43,NULL,1-1-1,Lost Costumer
1751879d8a994aa8b87a18c79af524b9,1,1,1,200,3,8.31,2.77,NULL,1-1-1,Lost Costumer
aef6e9628dfe4b8f9049a3dc13a7a67e,1,1,3,200,3,91,30.3333333333333,3,1-1-3,Cannot Lose Them
2f429d0f591845e48eaead903fed2c3b,1,1,3,200,3,71.33,23.7766666666667,2,1-1-3,Cannot Lose Them
bacc303abb13474eb0794e50916ce582,1,1,2,200,3,46.14,15.38,1,1-1-2,Lost Costumer
24e6f5617531403cb019e7995822c6fb,1,1,1,200,3,14.19,4.73,1,1-1-1,Lost Costumer
209ace4ec61a4a32819f3f772a37a134,1,1,3,200,3,60.47,20.1566666666667,2,1-1-3,Cannot Lose Them
7285ee7e1e824b4c9914f3245bb4839c,1,1,1,200,3,6.55,2.18333333333333,NULL,1-1-1,Lost Costumer
d4397a102f5644f99a97ea58475739d9,1,1,3,200,3,84.94,28.3133333333333,2,1-1-3,Cannot Lose Them
51e96c98377740eba8cd99acf4962b11,1,1,1,200,3,2.12,0.706666666666667,NULL,1-1-1,Lost Costumer
790d13770c3d43f981c9080f444f4cbd,1,1,1,200,3,3.62,1.20666666666667,1,1-1-1,Lost Costumer
09f6c78df51047dbb554388ca1e514b9,1,1,1,200,3,18.45,6.15,NULL,1-1-1,Lost Costumer
bf42d3e0c84845dc9142443a4fda410d,1,1,3,198,3,82.18,27.3933333333333,2,1-1-3,Cannot Lose Them
df3271f5d1354eeda3691b592108746f,1,1,1,198,3,10.39,3.46333333333333,NULL,1-1-1,Lost Costumer
6b3ca453ee1546819530e5863d0042e8,1,1,3,198,2,69.51,34.755,2,1-1-3,Cannot Lose Them
e8655d5b4b36460b9e1a62bbb8e835f7,1,1,1,198,3,14.44,4.81333333333333,NULL,1-1-1,Lost Costumer
ad16351ea0c44654979d30c880df4227,1,1,2,198,1,19.79,19.79,NULL,1-1-2,Lost Costumer
